"Story","Title","Result","Date","Stability","Duration (s)"
"Create a booking in herokuapp","Create booking","SUCCESS","2023-02-23T18:30:04.547905-05:00[America/Bogota]","0.0","3.84"
"Creacion exitosa de usuario y orden","Creacion de Orden","SUCCESS","2023-02-23T18:23:12.8676858-05:00[America/Bogota]","0.0","3.98"
